player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,04:16:06:231,-45.1,1.08,-55.6,0,-0.9826078,0
,1,04:16:06:451,-45.1,1.08,-55.6,0,-0.9871306,0
,1,04:16:06:661,-45.1,1.08,-55.6,0,-0.9632011,0
,1,04:16:06:862,-45.1,1.08,-55.6,0,-0.9252836,0
,1,04:16:07:062,-45.1,1.08,-55.6,0,-0.8735948,0
,1,04:16:07:266,-45.1,1.08,-55.6,0,-0.7956816,0
,1,04:16:07:464,-45.1,1.08,-55.6,0,-0.7956816,0
,1,04:16:07:668,-45.1,1.08,-55.6,0,-0.6148174,0
,1,04:16:07:879,-45.10077,1.08,-55.59933,0,-0.416893,0
,1,04:16:08:122,-45.53733,1.08,-55.13352,0,-0.2863491,0
,1,04:16:08:368,-46.02337,1.08,-54.01268,0,-0.1897081,0
,1,04:16:08:607,-46.45899,1.08,-52.90001,0,-0.1575255,0
,1,04:16:08:863,-46.22156,1.08,-51.52504,0,-0.2562381,0
,1,04:16:09:101,-45.89623,1.08,-50.21669,0,-0.5086047,0
,1,04:16:09:363,-45.48561,1.08,-48.96929,0,-0.6528019,0
,1,04:16:09:599,-44.70485,1.08,-48.10669,0,-0.7143005,0
,1,04:16:09:828,-43.57722,1.08,-47.8096,0,-0.7814771,0
,1,04:16:10:055,-42.66722,1.08,-47.59974,0,-0.7826915,0
,1,04:16:10:269,-42.49625,1.08,-47.56022,0,-0.7826915,0
,1,04:16:10:498,-42.50514,1.08,-47.55684,0,-0.4696677,0
,1,04:16:10:737,-42.84859,1.08,-47.0585,0,-0.2362055,0
,1,04:16:10:968,-42.98231,1.08,-45.94378,0,0.07035607,0
,1,04:16:11:209,-42.7985,1.08,-44.75439,0,0.1182668,0
,1,04:16:11:452,-42.44929,1.08,-43.5908,0,0.1462872,0
,1,04:16:11:699,-42.13365,1.08,-42.39705,0,0.1134193,0
,1,04:16:11:946,-42.08238,1.08,-41.17803,0,-0.07755762,0
,1,04:16:12:182,-42.2799,1.08,-40.01806,0,-0.1150239,0
,1,04:16:12:426,-42.59388,1.08,-38.83743,0,-0.04226552,0
,1,04:16:12:669,-42.56747,1.08,-37.627,0,0.02017093,0
,1,04:16:12:906,-42.6356,1.08,-36.4401,0,-0.05890945,0
,1,04:16:13:145,-42.77566,1.08,-35.25726,0,-0.05869715,0
,1,04:16:13:382,-42.91265,1.08,-34.07985,0,-0.0567349,0
,1,04:16:13:615,-43.04422,1.08,-32.92596,0,-0.0567349,0
,1,04:16:13:847,-43.17691,1.08,-31.76653,0,-0.05723048,0
,1,04:16:14:079,-43.30919,1.08,-30.61656,0,-0.05723048,0
,1,04:16:14:310,-43.44106,1.08,-29.4702,0,-0.05723048,0
,1,04:16:14:542,-43.57407,1.08,-28.31385,0,-0.05723048,0
,1,04:16:14:772,-43.70549,1.08,-27.17126,0,-0.05723048,0
,1,04:16:15:003,-43.83738,1.08,-26.0247,0,-0.05723048,0
,1,04:16:15:231,-43.96765,1.08,-24.89217,0,-0.05723048,0
,1,04:16:15:465,-44.10064,1.08,-23.73598,0,-0.05723048,0
,1,04:16:15:697,-44.23386,1.08,-22.58251,0,-0.05855196,0
,1,04:16:15:937,-44.3945,1.08,-21.39185,0,-0.07893004,0
,1,04:16:16:173,-44.55402,1.08,-20.21498,0,-0.1179772,0
,1,04:16:16:408,-44.05425,1.08,-18.87624,0,-0.1296696,0
,1,04:16:16:643,-43.58318,1.08,-17.52931,0,-0.13086,0
,1,04:16:16:875,-43.80137,1.08,-16.38768,0,-0.1337214,0
,1,04:16:17:108,-44.10899,1.08,-15.26854,0,-0.1337214,0
,1,04:16:17:347,-44.40215,1.08,-14.11023,0,-0.1178247,0
,1,04:16:17:585,-44.66735,1.08,-12.94452,0,-0.1035294,0
,1,04:16:17:818,-44.90532,1.08,-11.81004,0,-0.1031879,0
,1,04:16:18:046,-45.13983,1.08,-10.69194,0,-0.1031879,0
,1,04:16:18:278,-45.37714,1.08,-9.560477,0,-0.1031879,0
,1,04:16:18:509,-45.61433,1.08,-8.429598,0,-0.1031879,0
,1,04:16:18:741,-45.85267,1.08,-7.293258,0,-0.1031879,0
,1,04:16:18:975,-46.09339,1.08,-6.145559,0,-0.1031879,0
,1,04:16:19:212,-46.31997,1.08,-5.00162,0,-0.07410623,0
,1,04:16:19:474,-46.38409,1.08,-4.421981,0,-0.05313689,0
,1,04:16:19:692,-46.38409,1.08,-4.421981,0,-0.05087736,0
,1,04:16:19:897,-46.38409,1.08,-4.421981,0,-0.05087736,0
player ID, trial, timestamp, x, y, z, rotx, roty, rotz
,1,05:45:22:390,-45.1,1.08,-55.6,0,0,0
,1,05:45:23:861,-45.1,1.08,-55.6,0,0,0
,1,05:45:25:373,-45.1,1.08,-55.6,0,0,0
,1,05:45:26:880,-45.1,1.08,-55.6,0,0,0
,1,05:45:28:353,-45.1,1.08,-55.6,0,0,0
,1,05:45:29:836,-45.1,1.08,-55.6,0,0,0
,1,05:45:31:333,-45.1,1.08,-55.6,0,0,0
,1,05:45:32:828,-45.1,1.08,-55.6,0,0,0
,1,05:45:34:308,-45.1,1.08,-55.6,0,0,0
,1,05:45:35:775,-45.1,1.08,-55.6,0,0,0
,1,05:45:37:219,-45.1,1.08,-55.6,0,0,0
,1,05:45:38:675,-45.1,1.08,-55.6,0,0,0
,1,05:45:40:132,-45.1,1.08,-55.6,0,0,0
